pais,sedes,Secciones promedio,Flujo Migratorio Neto
REPÚBLICA  FEDERATIVA  DEL  BRASIL,11,1.6363636363636365,226752.0
ESTADOS  UNIDOS  DE  AMÉRICA,9,3.3333333333333335,-32631153.0
REPÚBLICA  ORIENTAL  DEL  URUGUAY,8,0.5,147137.0
ESTADO  PLURINACIONAL  DE  BOLIVIA,7,2.2857142857142856,272782.0
REINO  DE  ESPAÑA,7,2.2857142857142856,-641977.0
REPÚBLICA  DE  CHILE,7,2.0,329991.0
REPÚBLICA  POPULAR  DE  CHINA,6,2.8333333333333335,5600281.0
CANADÁ,4,1.75,-4299586.0
REPÚBLICA  DEL  PARAGUAY,4,0.0,221020.0
REPÚBLICA  FEDERAL  DE  ALEMANIA,4,3.5,-7532387.0
REPÚBLICA  ITALIANA,4,3.25,1013857.0
ESTADOS  UNIDOS  MEXICANOS,3,3.3333333333333335,9051397.0
AUSTRALIA,2,4.0,-3565898.0
CONFEDERACIÓN  SUIZA,2,2.5,-1232209.0
ESTADO  DE  ISRAEL,2,2.5,-1542103.0
REINO  DE  BÉLGICA,2,5.5,-538264.0
REPÚBLICA  DE  LA  INDIA,2,3.5,3281057.0
REPÚBLICA  DE  SUDÁFRICA,2,2.0,-316286.0
REPÚBLICA  DE  TÜRKIYE,2,2.0,1741202.0
REPÚBLICA  DEL  ECUADOR,2,5.0,527223.0
REPÚBLICA  DEL  PERÚ,2,3.5,641140.0
REPÚBLICA  FRANCESA,2,4.5,-4511990.0
BARBADOS,1,7.0,66969.0
EMIRATOS  ÁRABES  UNIDOS,1,3.0,-2212641.0
ESTADO  DE  KUWAIT,1,5.0,-1133923.0
ESTADO  DE  LIBIA,1,2.0,-435968.0
ESTADO  DE  PALESTINA,1,0.0,-441744.0
ESTADO  DE  QATAR,1,5.0,-465786.0
FEDERACIÓN  DE  RUSIA,1,13.0,-1675380.0
HUNGRÍA,1,5.0,143327.0
IRLANDA,1,4.0,738762.0
JAMAICA,1,3.0,905476.0
MALASIA,1,3.0,-348056.0
NUEVA  ZELANDIA,1,3.0,-182802.0
REINO  DE  ARABIA  SAUDITA,1,0.0,-4917572.0
REINO  DE  DINAMARCA,1,4.0,-150874.0
REINO  DE  LOS  PAÍSES  BAJOS,1,4.0,-810628.0
REINO  DE  MARRUECOS,1,5.0,1560159.0
REINO  DE  NORUEGA,1,3.0,-98406.0
REINO  DE  SUECIA,1,4.0,-722531.0
REINO  DE  TAILANDIA,1,6.0,2261.0
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,1,6.0,1268004.0
REPÚBLICA  ARGENTINA,1,0.0,-961383.0
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,1,5.0,-681595.0
REPÚBLICA  CHECA,1,5.0,425944.0
REPÚBLICA  COOPERATIVA  DE  GUYANA,1,0.0,347264.0
REPÚBLICA  DE  ANGOLA,1,6.0,341506.0
REPÚBLICA  DE  ARMENIA,1,3.0,562573.0
REPÚBLICA  DE  AUSTRIA,1,11.0,-464359.0
REPÚBLICA  DE  AZERBAIYÁN,1,5.0,1246938.0
REPÚBLICA  DE  BULGARIA,1,0.0,682680.0
REPÚBLICA  DE  COLOMBIA,1,7.0,1423852.0
REPÚBLICA  DE  COREA,1,5.0,1328698.0
REPÚBLICA  DE  COSTA  RICA,1,2.0,-191095.0
REPÚBLICA  DE  CUBA,1,5.0,1037511.0
REPÚBLICA  DE  EL  SALVADOR,1,5.0,903601.0
REPÚBLICA  DE  FILIPINAS,1,4.0,2760757.0
REPÚBLICA  DE  FINLANDIA,1,2.0,242214.0
REPÚBLICA  DE  GUATEMALA,1,3.0,518740.0
REPÚBLICA  DE  HAITÍ,1,7.0,752122.0
REPÚBLICA  DE  HONDURAS,1,4.0,312579.0
REPÚBLICA  DE  INDONESIA,1,5.0,1687322.0
REPÚBLICA  DE  KENYA,1,6.0,-166200.0
REPÚBLICA  DE  MOZAMBIQUE,1,8.0,390061.0
REPÚBLICA  DE  NICARAGUA,1,1.0,472307.0
REPÚBLICA  DE  PANAMÁ,1,4.0,89594.0
REPÚBLICA  DE  POLONIA,1,3.0,4324836.0
REPÚBLICA  DE  SENEGAL,1,0.0,126101.0
REPÚBLICA  DE  SERBIA,1,4.0,0.0
REPÚBLICA  DE  SINGAPUR,1,4.0,-1064559.0
REPÚBLICA  DE  SURINAME,1,6.0,216647.0
REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,1,1.0,265639.0
REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,1,4.0,-143342.0
REPÚBLICA  DOMINICANA,1,3.0,518952.0
REPÚBLICA  FEDERAL  DE  NIGERIA,1,6.0,-84806.0
REPÚBLICA  HELÉNICA,1,4.0,318245.0
REPÚBLICA  ISLÁMICA  DE  IRÁN,1,1.0,60273.0
REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,1,2.0,1171308.0
REPÚBLICA  LIBANESA,1,5.0,364002.0
REPÚBLICA  POPULAR  DE  BANGLADESH,1,0.0,4021801.0
REPÚBLICA  PORTUGUESA,1,5.0,702472.0
REPÚBLICA  SOCIALISTA  DE  VIETNAM,1,4.0,1708229.0
REPÚBLICA  TUNECINA,1,7.0,534414.0
REPÚBLICA  ÁRABE  DE  EGIPTO,1,6.0,2105142.0
REPÚBLICA  ÁRABE  SIRIA,1,1.0,51650.0
RUMANIA,1,2.0,1175209.0
SANTA  LUCÍA,1,0.0,38847.0
UCRANIA,1,4.0,709514.0
日本国  (JAPÓN),1,6.0,-812362.0
